LINK_IMAGE,FEC_ELECTION_YR,CMTE_NM,CMTE_ID,CMTE_TP,CMTE_DSGN,CMTE_FILING_FREQ,ADDRESS,CMTE_CITY,CMTE_ST,CMTE_ZIP,TRES_NM,CAND_ID,CAND_NAME,CAND_ELECTION_YR,FORM_TP_CD,RPT_TP,RPT_YR,RECEIPT_DT,INDV_ITEM_CONTB,INDV_UNITEM_CONTB,INDV_CONTB,INDV_REF,PTY_CMTE_CONTB,OTH_CMTE_CONTB,OTH_CMTE_REF,CAND_CNTB,TTL_CONTB,TTL_CONTB_REF,CAND_LOAN,CAND_LOAN_REPYMNT,OTH_LOANS,OTH_LOAN_REPYMTS,TTL_LOANS,TTL_LOAN_REPYMTS,TRANF_FROM_OTHER_AUTH_CMTE,TRANF_FROM_NONFED_ACCT_PER,TRANF_FROM_NONFED_LEVIN_PER,TTL_NONFED_TRANF_PER,OTHER_RECEIPTS,TTL_RECEIPTS,TTL_FED_RECEIPTS_PER,OP_EXP_PER,SHARED_FED_OP_EXP_PER,SHARED_NONFED_OP_EXP_PER,TTL_OP_EXP_PER,OFFSETS_TO_OP_EXP,SHARED_FED_ACTVY_FED_SHR_PER,SHARED_FED_ACTVY_NONFED_PER,NON_ALLOC_FED_ELECT_ACTVY_PER,TTL_FED_ELECT_ACTVY_PER,FED_CAND_CMTE_CONTB_PER,FED_CAND_CONTB_REF_PER,INDT_EXP_PER,COORD_EXP_BY_PTY_CMTE_PER,LOANS_MADE_PER,LOAN_REPYMTS_RECEIVED_PER,TRANF_TO_OTHER_AUTH_CMTE,FNDRSG_DISB,OFFSETS_TO_FNDRSG,EXEMPT_LEGAL_ACCTG_DISB,OFFSETS_TO_LEGAL_ACCTG,TTL_OFFSETS_TO_OP_EXP,OTHER_DISB_PER,TTL_FED_DISB_PER,TTL_DISB,NET_CONTB,NET_OP_EXP,COH_BOP,COH_COP,DEBTS_OWED_BY_CMTE,DEBTS_OWED_TO_CMTE,CVG_START_DT,TIME_STAMP,CVG_END_DT,POL_PTY_CMTE_CONTB,CAND_ID,COH_BOY,COH_COY,EXP_PRIOR_YRS_SUBJECT_LIM_PER,EXP_SUBJECT_LIMITS_PER,FED_FUNDS_PER,ITEM_CONVN_EXP_DISB_PER,ITEM_OTHER_DISB_PER,ITEM_OTHER_INCOME_PER,ITEM_OTHER_REF_REB_RET_PER,ITEM_REF_REB_RET_PER,OTHER_FED_OP_EXP_PER,SUBTTL_CONVN_EXP_DISB_PER,SUBTTL_OTHER_REF_REB_RET_PER,SUBTTL_REF_REB_RET_PER,TTL_COMMUNICATION_COST,TTL_EXP_SUBJECT_LIMITS,UNITEM_CONVN_EXP_DISB_PER,UNITEM_OTHER_DISB_PER,UNITEM_OTHER_INCOME_PER,UNITEM_OTHER_REF_REB_RET_PER,UNITEM_REF_REB_RET_PER
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00202176tabIndex=3","2024","WILLIE CARTER FOR PRESIDENT COMMITTEE","C00202176","P","P","Q","P O BOX 3236","FT WORTH","TX","76113","GRAHAM, ARTRISIA","P80000268","CARTER, WILLIE FELIX","2024","F3P","Q1","2023","06-APR-23","0","0","0","0","0","0","0","1099.08","1099.08","0","0","0","0","0","0","0","0","","","","81.07","1180.15","","605.88","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","605.88","8862.46","7605.02","-527.06","47.21","1250","0","2023-01-01","2023-03-31T00:00:00-05:00","2023-03-31","0","P80000268","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00202176tabIndex=3","2024","WILLIE CARTER FOR PRESIDENT COMMITTEE","C00202176","P","P","Q","P O BOX 3236","FT WORTH","TX","76113","GRAHAM, ARTRISIA","P80000268","CARTER, WILLIE FELIX","2024","F3P","Q2","2023","15-JUL-23","0","0","0","0","0","0","0","1200","1200","0","0","0","0","0","0","0","0","","","","70","1270","","1240.72","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","1240.72","8862.46","7605.02","47.21","76.49","1250","0","2023-04-01","2023-06-30T00:00:00-05:00","2023-06-30","0","P80000268","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00202176tabIndex=3","2024","WILLIE CARTER FOR PRESIDENT COMMITTEE","C00202176","P","P","Q","P O BOX 3236","FT WORTH","TX","76113","GRAHAM, ARTRISIA","P80000268","CARTER, WILLIE FELIX","2024","F3P","Q3","2023","13-OCT-23","0","0","0","0","0","0","0","921.23","921.23","0","0","0","0","0","0","0","0","","","","7.28","928.51","","941","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","941","8862.46","7605.02","76.49","64","1250","0","2023-07-01","2023-09-30T00:00:00-05:00","2023-09-30","0","P80000268","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00202176tabIndex=3","2024","WILLIE CARTER FOR PRESIDENT COMMITTEE","C00202176","P","P","Q","P O BOX 3236","FT WORTH","TX","76113","GRAHAM, ARTRISIA","P80000268","CARTER, WILLIE FELIX","2024","F3P","YE","2023","31-JAN-24","0","0","0","0","0","0","0","735","735","0","0","0","0","0","0","0","0","","","","33.79","768.79","","810.85","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","810.85","8862.46","7605.02","64","21.94","1250","0","2023-10-01","2023-12-31T00:00:00-05:00","2023-12-31","0","P80000268","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00202176tabIndex=3","2024","WILLIE CARTER FOR PRESIDENT COMMITTEE","C00202176","P","P","Q","P O BOX 3236","FT WORTH","TX","76113","GRAHAM, ARTRISIA","P80000268","CARTER, WILLIE FELIX","2024","F3P","Q1","2024","04-APR-24","0","0","0","0","0","0","0","925","925","0","0","0","0","0","0","0","0","","","","0","925","","925.8","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","925.8","8862.46","7605.02","21.94","21.14","1250","0","2024-01-01","2024-03-31T00:00:00-05:00","2024-03-31","0","P80000268","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00346163tabIndex=3","2024","KEYES 2000 INC","C00346163","P","A","Q","4700 SURRY PLACE","ALEXANDRIA","VA","22304","WILLIAM LEO CONSTANTINE","P60003076","KEYES, ALAN L","2008","F3P","Q1","2023","02-APR-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","150","181310.76","0","0","296843.91","0","2023-01-01","2023-03-31T00:00:00-05:00","2023-03-31","0","P60003076","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00346163tabIndex=3","2024","KEYES 2000 INC","C00346163","P","A","Q","4700 SURRY PLACE","ALEXANDRIA","VA","22304","WILLIAM LEO CONSTANTINE","P60003076","KEYES, ALAN L","2008","F3P","Q2","2023","01-JUL-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","150","181310.76","0","0","296843.91","0","2023-04-01","2023-06-30T00:00:00-05:00","2023-06-30","0","P60003076","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00346163tabIndex=3","2024","KEYES 2000 INC","C00346163","P","A","Q","4700 SURRY PLACE","ALEXANDRIA","VA","22304","WILLIAM LEO CONSTANTINE","P60003076","KEYES, ALAN L","2008","F3P","Q3","2023","02-OCT-23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","150","181310.76","0","0","296843.91","0","2023-07-01","2023-09-30T00:00:00-05:00","2023-09-30","0","P60003076","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00346163tabIndex=3","2024","KEYES 2000 INC","C00346163","P","A","Q","4700 SURRY PLACE","ALEXANDRIA","VA","22304","WILLIAM LEO CONSTANTINE","P60003076","KEYES, ALAN L","2008","F3P","YE","2023","02-JAN-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","150","181310.76","0","0","296843.91","0","2023-10-01","2023-12-31T00:00:00-05:00","2023-12-31","0","P60003076","","","","","0","","","","","","","","","","","","","","","",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00346163tabIndex=3","2024","KEYES 2000 INC","C00346163","P","A","Q","4700 SURRY PLACE","ALEXANDRIA","VA","22304","WILLIAM LEO CONSTANTINE","P60003076","KEYES, ALAN L","2008","F3P","Q1","2024","02-APR-24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","","0","","","","0","","","","","","","","","","","0","0","0","0","0","0","0","","0","150","181310.76","0","0","296843.91","0","2024-01-01","2024-03-31T00:00:00-05:00","2024-03-31","0","P60003076","","","","","0","","","","","","","","","","","","","","","",""
